"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword story","Searching by keyword banana should display the corresponding article","FAILURE","2024-05-21T16:28:25.009319+03:00[Europe/Bucharest]","0.0","6.52"
"Search by keyword story","Searching by ambiguious keyword should display the disambiguation page","PENDING","2024-05-21T16:28:32.0585714+03:00[Europe/Bucharest]","0.0","0.19"
"Search by keyword story","Searching by keyword apple should display the corresponding article","SUCCESS","2024-05-21T16:28:32.3299121+03:00[Europe/Bucharest]","0.0","3.33"
